id,not_before,not_after,longitude,latitude,type_of_monument,country,text_edition,type_of_monument_clean,type_of_inscription_clean,country_clean,clean_text_interpretive_word,clean_text_interpretive_word_lowercase,clean_text_interpretive_sentence,form_dis_manibus
HD000387,0101,0200,-7.2823,41.9746,block,Spain,Gaius Nigrinius Albinus Gaio Albino Nigrinio annorum XVI filio monumentum posuit Dis Manibus sacrum,block,epitaph,Spain,Gaius Nigrinius Albinus Gaio Albino Nigrinio annorum XVI filio monumentum posuit Dis Manibus sacrum,gaius nigrinius albinus gaio albino nigrinio annorum xvi filio monumentum posuit dis manibus sacrum,Gaius Nigrinius Albinus Gaio Albino Nigrinio annorum XVI filio monumentum posuit Dis Manibus sacrum,dis manibus sacrum
HD000484,0101,0200,-8.913,42.9963,stele,Spain,Dis Manibus s(acrum) posuit Amoena Maximo annorum LIII             ,stele,epitaph,Spain,Dis Manibus sacrum posuit Amoena Maximo annorum LIII,dis manibus sacrum posuit amoena maximo annorum liii,Dis Manibus sacrum posuit Amoena Maximo annorum LIII,dis manibus sacrum
HD000542,0101,0200,-3.1524,37.8777,stele,Spain,Dis Manibus sacrum Augustina pia in suis annorum XX  sodales ine posuerunt hic sita est sit tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Augustina pia in suis annorum XX sodales ine posuerunt hic sita est sit tibi terra levis,dis manibus sacrum augustina pia in suis annorum xx sodales ine posuerunt hic sita est sit tibi terra levis,Dis Manibus sacrum Augustina pia in suis annorum XX sodales ine posuerunt hic sita est sit tibi terra levis,dis manibus sacrum
HD000545,0071,0200,-3.0652,41.5862,stele,Spain,Dis Manibus Tito Valerio Goliarae militi in Germania legionis XIIX sic Octavia Elae marito optimo faciendum curavit,stele,epitaph,Spain,Dis Manibus Tito Valerio Goliarae militi in Germania legionis XIIX Octavia Elae marito optimo faciendum curavit,dis manibus tito valerio goliarae militi in germania legionis xiix octavia elae marito optimo faciendum curavit,Dis Manibus Tito Valerio Goliarae militi in Germania legionis XIIX Octavia Elae marito optimo faciendum curavit,dis manibus
HD000548,0101,0200,-6.7036,40.7255,stele,Spain,Dis Manibus sacrum Apana Triti annorum LX Apana Clouti filia annorum V Amaenea matri et filiae faciendum curavit hic sitae sunt sit tibi sic terra levis,stele,epitaph,Spain,Dis Manibus sacrum Apana Triti annorum LX Apana Clouti filia annorum V Amaenea matri et filiae faciendum curavit hic sitae sunt sit tibi terra levis,dis manibus sacrum apana triti annorum lx apana clouti filia annorum v amaenea matri et filiae faciendum curavit hic sitae sunt sit tibi terra levis,Dis Manibus sacrum Apana Triti annorum LX Apana Clouti filia annorum V Amaenea matri et filiae faciendum curavit hic sitae sunt sit tibi terra levis,dis manibus sacrum
HD000551,0101,0200,-6.489,40.9592,stele,Spain,Dis Manibus sacrum Antonius Alionus annorum LXXV hic situs sit tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Antonius Alionus annorum LXXV hic situs sit tibi terra levis,dis manibus sacrum antonius alionus annorum lxxv hic situs sit tibi terra levis,Dis Manibus sacrum Antonius Alionus annorum LXXV hic situs sit tibi terra levis,dis manibus sacrum
HD000554,0101,0200,-6.489,40.9592,stele,Spain,Dis Manibus sacrum Maternae Materni annorum LII hic sita sit tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Maternae Materni annorum LII hic sita sit tibi terra levis,dis manibus sacrum maternae materni annorum lii hic sita sit tibi terra levis,Dis Manibus sacrum Maternae Materni annorum LII hic sita sit tibi terra levis,dis manibus sacrum
HD000557,0101,0200,-6.489,40.9592,stele,Spain,Dis Manibus sacrum Firmonis Flacci filii sit tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Firmonis Flacci filii sit tibi terra levis,dis manibus sacrum firmonis flacci filii sit tibi terra levis,Dis Manibus sacrum Firmonis Flacci filii sit tibi terra levis,dis manibus sacrum
HD000560,0101,0200,-6.489,40.9592,stele,Spain,Dis Manibus sacrum Maganae annorum LXXX hic sita sit tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Maganae annorum LXXX hic sita sit tibi terra levis,dis manibus sacrum maganae annorum lxxx hic sita sit tibi terra levis,Dis Manibus sacrum Maganae annorum LXXX hic sita sit tibi terra levis,dis manibus sacrum
HD000572,0101,0200,-6.489,40.9592,stele,Spain,Dis Manibus sacrum Valeriae Arqui annorum LX hic sita tibi terra levis  Dis Manibus sacrum Aemili annorum XV hic sit-- tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Valeriae Arqui annorum LX hic sita tibi terra levis Dis Manibus sacrum Aemili annorum XV hic sit tibi terra levis,dis manibus sacrum valeriae arqui annorum lx hic sita tibi terra levis dis manibus sacrum aemili annorum xv hic sit tibi terra levis,Dis Manibus sacrum Valeriae Arqui annorum LX hic sita tibi terra levis Dis Manibus sacrum Aemili annorum XV hic sit tibi terra levis,dis manibus sacrum
HD000705,0101,0150,-6.3437,38.9161,tabula,Spain,Dis Manibus sacrum Euhodia Mellini verna annorum XV hic sita est sit tibi terra levis Euhodus et Callityche filiae pientissumae sic,tabula,epitaph,Spain,Dis Manibus sacrum Euhodia Mellini verna annorum XV hic sita est sit tibi terra levis Euhodus et Callityche filiae pientissumae,dis manibus sacrum euhodia mellini verna annorum xv hic sita est sit tibi terra levis euhodus et callityche filiae pientissumae,Dis Manibus sacrum Euhodia Mellini verna annorum XV hic sita est sit tibi terra levis Euhodus et Callityche filiae pientissumae,dis manibus sacrum
HD000717,0101,0200,-6.3437,38.9161,altar,Spain,Dis Manibus sacrum Antistiae Luci filiae Verecundae annorum XVIII Antistius Eucarpio pater filiae piissumae sic faciendum curavit,altar,epitaph,Spain,Dis Manibus sacrum Antistiae Luci filiae Verecundae annorum XVIII Antistius Eucarpio pater filiae piissumae faciendum curavit,dis manibus sacrum antistiae luci filiae verecundae annorum xviii antistius eucarpio pater filiae piissumae faciendum curavit,Dis Manibus sacrum Antistiae Luci filiae Verecundae annorum XVIII Antistius Eucarpio pater filiae piissumae faciendum curavit,dis manibus sacrum
HD000786,0101,0200,-5.0104,37.1476,tabula,Spain,Dis Manibus sacrum Thisbe serva nnorum LXV hic sita est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Thisbe serva annorum LXV hic sita est sit tibi terra levis,dis manibus sacrum thisbe serva annorum lxv hic sita est sit tibi terra levis,Dis Manibus sacrum Thisbe serva annorum LXV hic sita est sit tibi terra levis,dis manibus sacrum
HD000790,0101,0200,-8.7585,42.9616,stele,Spain,Dis Manibus sacrum posuit Cornelius Fronto annorum XXXXIIII             ,stele,epitaph,Spain,Dis Manibus sacrum posuit Cornelius Fronto annorum XXXXIIII,dis manibus sacrum posuit cornelius fronto annorum xxxxiiii,Dis Manibus sacrum posuit Cornelius Fronto annorum XXXXIIII,dis manibus sacrum
HD000804,0171,0200,-5.3467,37.7092,tabula,Spain,Dis Manibus sacrum Quintus Fulvius Musicus nnum XXXXV hic situs est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Quintus Fulvius Musicus annorum XXXXV hic situs est sit tibi terra levis,dis manibus sacrum quintus fulvius musicus annorum xxxxv hic situs est sit tibi terra levis,Dis Manibus sacrum Quintus Fulvius Musicus annorum XXXXV hic situs est sit tibi terra levis,dis manibus sacrum
HD000813,0171,0200,-5.9782,37.5183,tabula,Spain,Dis Manibus sacrum Lucius Terentius Firmus nnorum LXI pius in suis hic situs est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Lucius Terentius Firmus annorum LXI pius in suis hic situs est sit tibi terra levis,dis manibus sacrum lucius terentius firmus annorum lxi pius in suis hic situs est sit tibi terra levis,Dis Manibus sacrum Lucius Terentius Firmus annorum LXI pius in suis hic situs est sit tibi terra levis,dis manibus sacrum
HD000822,0131,0170,-5.7809,37.1852,tabula,Spain,                Dis Manibus Postumia Silana hic sita est annorum XXX pia parentibus amatrix municipi Postumia Sura mater dedit             ,tabula,epitaph,Spain,Dis Manibus Postumia Silana hic sita est annorum XXX pia parentibus amatrix municipi Postumia Sura mater dedit,dis manibus postumia silana hic sita est annorum xxx pia parentibus amatrix municipi postumia sura mater dedit,Dis Manibus Postumia Silana hic sita est annorum XXX pia parentibus amatrix municipi Postumia Sura mater dedit,dis manibus
HD000825,0101,0200,-6.9576,37.9421,altar,Spain,Dis Manibus Marcus Sertorius Maternus annorum XXVII             ,altar,epitaph,Spain,Dis Manibus Marcus Sertorius Maternus annorum XXVII,dis manibus marcus sertorius maternus annorum xxvii,Dis Manibus Marcus Sertorius Maternus annorum XXVII,dis manibus
HD000831,0251,0300,-5.9761,37.3824,tabula,Spain,Dis Manibus sacrum Pinnia Helpis pia in suis ,tabula,epitaph,Spain,Dis Manibus sacrum Pinnia Helpis pia in suis,dis manibus sacrum pinnia helpis pia in suis,Dis Manibus sacrum Pinnia Helpis pia in suis,dis manibus sacrum
HD000840,0201,0230,-5.7338,37.6107,altar,Spain,Dis Manibus sacrum Marcus Iunius Vernaclus nnorum XXII hic situs est sit tibi terra levis,altar,epitaph,Spain,Dis Manibus sacrum Marcus Iunius Vernaclus annorum XXII hic situs est sit tibi terra levis,dis manibus sacrum marcus iunius vernaclus annorum xxii hic situs est sit tibi terra levis,Dis Manibus sacrum Marcus Iunius Vernaclus annorum XXII hic situs est sit tibi terra levis,dis manibus sacrum
HD000843,0131,0170,-5.6662,37.6186,tabula,Spain,Dis Manibus sacrum Aelius Epaenetus nnum LXX optumus pater optumus amicus optumus rector pius in suis hic situs est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Aelius Epaenetus annorum LXX optumus pater optumus amicus optumus rector pius in suis hic situs est sit tibi terra levis,dis manibus sacrum aelius epaenetus annorum lxx optumus pater optumus amicus optumus rector pius in suis hic situs est sit tibi terra levis,Dis Manibus sacrum Aelius Epaenetus annorum LXX optumus pater optumus amicus optumus rector pius in suis hic situs est sit tibi terra levis,dis manibus sacrum
HD000900,0101,0200,-5.9963,37.3826,altar,Spain,Dis Manibus sacrum L Theophile vixit annos LXVIII Aetolis patronae optimae fecit hic sita est sit tibi terra levis,altar,epitaph,Spain,Dis Manibus sacrum L Theophile vixit annos LXVIII Aetolis patronae optimae fecit hic sita est sit tibi terra levis,dis manibus sacrum l theophile vixit annos lxviii aetolis patronae optimae fecit hic sita est sit tibi terra levis,Dis Manibus sacrum L Theophile vixit annos LXVIII Aetolis patronae optimae fecit hic sita est sit tibi terra levis,dis manibus sacrum
HD000963,0101,0300,-5.7743,36.089,tabula,Spain,Dis Manibus sacrum Caius Vale Valen LES IXCI ,tabula,epitaph,Spain,Dis Manibus sacrum Caius Vale Valen LES IXCI,dis manibus sacrum caius vale valen les ixci,Dis Manibus sacrum Caius Vale Valen LES IXCI,dis manibus sacrum
HD000969,0101,0200,-6.1361,36.6865,tabula,Spain,Dis Manibus sacrum Marcus Aemilius Adaes vixit nnos XLI hic situs est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Marcus Aemilius Adaes vixit annos XLI hic situs est sit tibi terra levis,dis manibus sacrum marcus aemilius adaes vixit annos xli hic situs est sit tibi terra levis,Dis Manibus sacrum Marcus Aemilius Adaes vixit annos XLI hic situs est sit tibi terra levis,dis manibus sacrum
HD000987,0151,0230,-4.6827,36.9313,altar,Spain,Dis Manibus sacrum  Marcus Cornelius Agricola annorum XXV pius in suis,altar,epitaph,Spain,Dis Manibus sacrum Marcus Cornelius Agricola annorum XXV pius in suis,dis manibus sacrum marcus cornelius agricola annorum xxv pius in suis,Dis Manibus sacrum Marcus Cornelius Agricola annorum XXV pius in suis,dis manibus sacrum
HD001032,0151,0200,-2.15,39.8167,stele,Spain,Dis Manibus sacrum Mar Valeriano nnorum VIIII semis Mar Ianuarius alumno dulcissimo sit tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Mar Valeriano annorum VIIII semis Mar Ianuarius alumno dulcissimo sit tibi terra levis,dis manibus sacrum mar valeriano annorum viiii semis mar ianuarius alumno dulcissimo sit tibi terra levis,Dis Manibus sacrum Mar Valeriano annorum VIIII semis Mar Ianuarius alumno dulcissimo sit tibi terra levis,dis manibus sacrum
HD001050,0101,0200,-2.2655,39.771,tabula,Spain,Dis Manibus sacrum Pergamis metio filio hic situs est sit tibi terra levis,tabula,epitaph,Spain,Dis Manibus sacrum Pergamis metio filio hic situs est sit tibi terra levis,dis manibus sacrum pergamis metio filio hic situs est sit tibi terra levis,Dis Manibus sacrum Pergamis metio filio hic situs est sit tibi terra levis,dis manibus sacrum
HD001056,0101,0200,-1.8667,39.9,stele,Spain,Dis Manibus sacrum Stertoni annorum VII sui faciendum curaverunt sit tibi terra levis,stele,epitaph,Spain,Dis Manibus sacrum Stertoni annorum VII sui faciendum curaverunt sit tibi terra levis,dis manibus sacrum stertoni annorum vii sui faciendum curaverunt sit tibi terra levis,Dis Manibus sacrum Stertoni annorum VII sui faciendum curaverunt sit tibi terra levis,dis manibus sacrum
HD001101,0101,0150,-8.8093,43.0331,stele,Spain,Dis Manibus sacrum M Firmillae annorum LX Publius M Creticus             ,stele,epitaph,Spain,Dis Manibus sacrum M Firmillae annorum LX Publius M Creticus,dis manibus sacrum m firmillae annorum lx publius m creticus,Dis Manibus sacrum M Firmillae annorum LX Publius M Creticus,dis manibus sacrum
HD001822,0101,0200,-3.1009,38.0286,stele,Spain,Dis Manibus sacrum  Cornelius Apolla annorum LXV pius in suis hic situs est sit tibi terra levis Afra uxor et Apollonius filius posuerunt,stele,epitaph,Spain,Dis Manibus sacrum Cornelius Apolla annorum LXV pius in suis hic situs est sit tibi terra levis Afra uxor et Apollonius filius posuerunt,dis manibus sacrum cornelius apolla annorum lxv pius in suis hic situs est sit tibi terra levis afra uxor et apollonius filius posuerunt,Dis Manibus sacrum Cornelius Apolla annorum LXV pius in suis hic situs est sit tibi terra levis Afra uxor et Apollonius filius posuerunt,dis manibus sacrum
HD001825,0171,0230,-3.4766,37.842,altar,Spain,Dis Manibus sacrum Valerius Firmanus vixsit sic annos LX pius in suis hic situs sit tibi terra levis,altar,epitaph,Spain,Dis Manibus sacrum Valerius Firmanus vixsit annos LX pius in suis hic situs sit tibi terra levis,dis manibus sacrum valerius firmanus vixsit annos lx pius in suis hic situs sit tibi terra levis,Dis Manibus sacrum Valerius Firmanus vixsit annos LX pius in suis hic situs sit tibi terra levis,dis manibus sacrum
HD001851,0101,0200,-2.0167,39.5667,stele,Spain,Dis Manibus sacrum Aemiliae Panthiae annorum LXXX familia BENSIS ,stele,epitaph,Spain,Dis Manibus sacrum Aemiliae Panthiae annorum LXXX familia B ENSIS,dis manibus sacrum aemiliae panthiae annorum lxxx familia b ensis,Dis Manibus sacrum Aemiliae Panthiae annorum LXXX familia B ENSIS,dis manibus sacrum
HD001870,0151,0250,2.159,41.3888,NA,Spain,Dis Manibus Valeria Vegeta Valerio Vegeto dedit ,NULL,epitaph,Spain,Dis Manibus Valeria Vegeta Valerio Vegeto dedit,dis manibus valeria vegeta valerio vegeto dedit,Dis Manibus Valeria Vegeta Valerio Vegeto dedit,dis manibus
HD001876,0151,0200,2.159,41.3888,cupa,Spain,Dis Manibus sacrum Lucio Pecellio Aemiliano Papiria Emerita annorum XLVII hic situs est sit tibi terra levis Lucius Pecellius Avitianus patri faciendum curavit,cupa,epitaph,Spain,Dis Manibus sacrum Lucio Pecellio Aemiliano Papiria Emerita annorum XLVII hic situs est sit tibi terra levis Lucius Pecellius Avitianus patri faciendum curavit,dis manibus sacrum lucio pecellio aemiliano papiria emerita annorum xlvii hic situs est sit tibi terra levis lucius pecellius avitianus patri faciendum curavit,Dis Manibus sacrum Lucio Pecellio Aemiliano Papiria Emerita annorum XLVII hic situs est sit tibi terra levis Lucius Pecellius Avitianus patri faciendum curavit,dis manibus sacrum
HD001885,0101,0300,-2.15,39.8167,block,Spain,Dis Manibus VOESV SA AIT E ,block,epitaph,Spain,Dis Manibus VOESV SA AIT E,dis manibus voesv sa ait e,Dis Manibus VOESV SA AIT E,dis manibus
HD002080,0151,0200,2.033,41.4923,tabula,Spain,Dis Manibus Clodio Urso liberto bene merenti Marcus Clodius Hyginus et Clodia Gratilla et sibi et suis fecerunt,tabula,epitaph,Spain,Dis Manibus Clodio Urso liberto bene merenti Marcus Clodius Hyginus et Clodia Gratilla et sibi et suis fecerunt,dis manibus clodio urso liberto bene merenti marcus clodius hyginus et clodia gratilla et sibi et suis fecerunt,Dis Manibus Clodio Urso liberto bene merenti Marcus Clodius Hyginus et Clodia Gratilla et sibi et suis fecerunt,dis manibus
HD002344,0101,0200,1.8167,41.95,block,Spain,Dis Manibus  Otaciliae Seranae nnorum XVIII Otacilius Seranus filiae naturali et Otacilia Chrysopolis filiae pientissimae hic sitae,block,epitaph,Spain,Dis Manibus Otaciliae Seranae annorum XVIII Otacilius Seranus filiae naturali et Otacilia Chrysopolis filiae pientissimae hic sitae,dis manibus otaciliae seranae annorum xviii otacilius seranus filiae naturali et otacilia chrysopolis filiae pientissimae hic sitae,Dis Manibus Otaciliae Seranae annorum XVIII Otacilius Seranus filiae naturali et Otacilia Chrysopolis filiae pientissimae hic sitae,dis manibus
HD002356,0071,0130,-3.7333,42.3833,stele,Spain,Dis Manibus Clodia Reburrina marito optimo posuit sepulcrum,stele,epitaph,Spain,Dis Manibus Clodia Reburrina marito optimo posuit sepulcrum,dis manibus clodia reburrina marito optimo posuit sepulcrum,Dis Manibus Clodia Reburrina marito optimo posuit sepulcrum,dis manibus
HD002359,NA,NA,-3.8223,42.312,block,Spain,Dis Manibus Carmosine posuit coniugi carissimo,block,epitaph,Spain,Dis Manibus Carmosine posuit coniugi carissimo,dis manibus carmosine posuit coniugi carissimo,Dis Manibus Carmosine posuit coniugi carissimo,dis manibus
HD002365,0101,0300,-3.8223,42.312,stele,Spain,Dis Manibus So NO TER   Dis Manibus MTRICENI TERICE ,stele,epitaph,Spain,Dis Manibus So NO TER Dis Manibus MTRICENI TERICE,dis manibus so no ter dis manibus mtriceni terice,Dis Manibus So NO TER Dis Manibus MTRICENI TERICE,dis manibus
HD002398,0071,0200,-6.8077,42.6077,stele,Spain,Dis Manibus CALLAE,stele,epitaph,Spain,Dis Manibus CAL LAE,dis manibus cal lae,Dis Manibus CAL LAE,dis manibus
HD002399,0201,0330,-3.7906,37.7692,stele,Spain,Dis Manibus sacrum domino bene merenti mater et pater filio posuerunt qui defunctus est Remus in trimatu             ,stele,epitaph,Spain,Dis Manibus sacrum domino bene merenti mater et pater filio posuerunt qui defunctus est Remus in trimatu,dis manibus sacrum domino bene merenti mater et pater filio posuerunt qui defunctus est remus in trimatu,Dis Manibus sacrum domino bene merenti mater et pater filio posuerunt qui defunctus est Remus in trimatu,dis manibus sacrum
HD002401,0101,0300,-3.4589,42.6243,altar,Spain,Dis Manibus sacrum Securus suae uxori merenti carissimae Lupulae posuit merenti annorum XXXV             ,altar,epitaph,Spain,Dis Manibus sacrum Securus suae uxori merenti carissimae Lupulae posuit merenti annorum XXXV,dis manibus sacrum securus suae uxori merenti carissimae lupulae posuit merenti annorum xxxv,Dis Manibus sacrum Securus suae uxori merenti carissimae Lupulae posuit merenti annorum XXXV,dis manibus sacrum
HD002485,0101,0200,-1.7254,41.9028,altar,Spain,Dis Manibus sacrum  Gaius Marius Lucretianus et Maria Mariana Lucio Valerio  ,altar,epitaph,Spain,Dis Manibus sacrum Gaius Marius Lucretianus et Maria Mariana Lucio Valerio,dis manibus sacrum gaius marius lucretianus et maria mariana lucio valerio,Dis Manibus sacrum Gaius Marius Lucretianus et Maria Mariana Lucio Valerio,dis manibus sacrum
HD002739,0101,0200,-2.0924,42.5882,stele,Spain,                Dis Manibus Festo Palydino annorum LXV Vernae annorum XXXIII Kraurius et fil et Aestius faciendum curaverunt,stele,epitaph,Spain,Dis Manibus Festo Palydino annorum LXV Vernae annorum XXXIII Kraurius et fil et Aestius faciendum curaverunt,dis manibus festo palydino annorum lxv vernae annorum xxxiii kraurius et fil et aestius faciendum curaverunt,Dis Manibus Festo Palydino annorum LXV Vernae annorum XXXIII Kraurius et fil et Aestius faciendum curaverunt,dis manibus
HD002761,0101,0300,-5.5985,42.1165,stele,Spain,Dis Manibus sacrum posuit memoriam coniugi bene merenti carissimo rarissimo incomparabili Iulia Mariano in annis plus minus L             ,stele,epitaph,Spain,Dis Manibus sacrum posuit memoriam coniugi bene merenti carissimo rarissimo incomparabili Iulia Mariano in annis plus minus L,dis manibus sacrum posuit memoriam coniugi bene merenti carissimo rarissimo incomparabili iulia mariano in annis plus minus l,Dis Manibus sacrum posuit memoriam coniugi bene merenti carissimo rarissimo incomparabili Iulia Mariano in annis plus minus L,dis manibus sacrum
HD002872,0151,0200,-3.7906,37.7692,altar?,Spain,Dis Manibus sacrum Quintus Ennius Nomin et Aemilia Augustina Quinto Ennio Iuveni filio karissimo et dulcissimo nobis anniculo et dierum VIII hic situs est sit tibi terra levis,altar,epitaph,Spain,Dis Manibus sacrum Quintus Ennius Nomin et Aemilia Augustina Quinto Ennio Iuveni filio karissimo et dulcissimo nobis anniculo et dierum VIII hic situs est sit tibi terra levis,dis manibus sacrum quintus ennius nomin et aemilia augustina quinto ennio iuveni filio karissimo et dulcissimo nobis anniculo et dierum viii hic situs est sit tibi terra levis,Dis Manibus sacrum Quintus Ennius Nomin et Aemilia Augustina Quinto Ennio Iuveni filio karissimo et dulcissimo nobis anniculo et dierum VIII hic situs est sit tibi terra levis,dis manibus sacrum
